date,open,high,low,close,volume
2007-08-24,250.15,250.15,250.15,250.15,918900
2007-08-27,250.3,250.3,250.3,250.3,653900
2007-08-28,250.69,250.69,250.69,250.69,555200
2007-08-29,250.48,250.48,250.48,250.48,640100
2007-08-30,251.28,251.28,251.28,251.28,747600
2007-08-31,252.55,252.55,252.55,252.55,802600
2007-09-04,252.62,256.14,256.14,256.14,1050200
2007-09-05,256.17,253.72,253.72,253.72,1058600
2007-09-06,253.75,254.57,254.57,254.57,971200
2007-09-07,254.67,256.65,256.65,256.65,1670900
2007-09-10,256.6,256.83,256.83,256.83,1579500
2007-09-11,256.83,257.6,257.6,257.6,1644000
2007-09-12,257.73,259.03,259.03,259.03,1601900
2007-09-13,259.24,259.16,259.16,259.16,1238600
2007-09-14,259.25,259.48,259.48,259.48,1319600
2007-09-17,259.56,261.81,261.81,261.81,1246200
2007-09-18,261.77,268.67,268.67,268.67,1782900
2007-09-19,268.67,276.63,276.63,276.63,2641100
2007-09-20,276.55,273.6,273.6,273.6,2669100
2007-09-21,273.66,272.49,272.49,272.49,1746700
2007-09-24,272.49,281.27,281.27,281.27,2381600
2007-09-25,281.49,290.28,290.28,290.28,3231600
2007-09-26,290.82,291.99,291.99,291.99,3360800
2007-09-27,292.32,295.32,295.32,295.32,3649400
2007-09-28,295.23,309.74,309.74,309.74,4606700
2007-10-01,312.74,334.49,334.49,334.49,4774100
2007-10-02,334.53,343.03,343.03,343.03,6916600
2007-10-03,346.05,345.54,345.54,345.54,5180300
2007-10-04,351.09,349.48,349.48,349.48,5885100
2007-10-05,356.71,345.11,345.11,345.11,5127000
2007-10-08,352.42,343.67,343.67,343.67,4650400
2007-10-09,344.71,349.64,349.64,349.64,4894200
2007-10-10,352.46,355.82,355.82,355.82,4313200
2007-10-11,357.53,357.78,357.78,357.78,4862100
2007-10-12,357.78,362.27,362.27,362.27,5382000
2007-10-15,362.89,370.85,370.85,370.85,5888700
2007-10-16,372.81,379.16,379.16,379.16,7858000
2007-10-17,383.9,372.6,372.6,372.6,6744200
2007-10-18,372.85,364.85,364.85,364.85,4417100
2007-10-19,364.7,376.83,376.83,376.83,5663400
2007-10-22,377.4,374.28,374.28,374.28,4670600
2007-10-23,375.5,369.29,369.29,369.29,6113400
2007-10-24,369.92,377.33,377.33,377.33,5764200
2007-10-25,381.25,379.7,379.7,379.7,6536100
2007-10-26,381.58,381.45,381.45,381.45,6801500
2007-10-29,382.64,374.96,374.96,374.96,5808400
2007-10-30,374.95,371.42,371.42,371.42,5542300
2007-10-31,371.39,379.21,379.21,379.21,5276500
2007-11-01,381.76,393.59,393.59,393.59,5136200
2007-11-02,394.92,382.93,382.93,382.93,4375200
2007-11-05,382.22,371.6,371.6,371.6,3824900
2007-11-06,370.45,365.85,365.85,365.85,3816600
2007-11-07,365.24,367.55,367.55,367.55,3850800
